Article,SelectedClusterId
"Because of her closer proximity to Wright's column, Takanami was the target of most of the Americans' initial gunfire. Takanami returned fire and launched her full load of eight torpedoes, but was quickly hit by American gunfire and, within four minutes, was set afire and incapacitated. As Takanami was destroyed, the rest of Tanaka's ships, almost unnoticed by the Americans, were increasing speed, maneuvering, and preparing to respond to the American attack. All of the American torpedoes missed.[24] Historian Russell S. Crenshaw, Jr. postulates that had the twenty-four Mark 15 torpedoes fired by US Navy destroyers during the battle not been fatally flawed, the outcome of the battle might have been different.",3
"The new Russian tsar, Peter I, would drastically modernize Russia in the coming years, but the army with which he traveled in 1700 was still poorly drilled. Preparing for war, he decided to form 31 new regiments. At the same time, in the spring of 1700, a revision of the officer corps was made. As a result, the majority of officers were sent into retirement or to garrison units, where they were to serve without pay. A catastrophic shortage of command personnel (up to 70% at the company level) resulted. The vacancies were filled with young Moscow noblemen who had neither the experience of command, nor the experience of service in the infantry, nor regular military training—their traditional places were elite irregular cavalry or court service. Serious problems were also with non-commissioned officers—they were not veteran soldiers, but elected from new recruits.[",3
"The Russian forces were commanded by Peter and Charles Eugène de Croy. Peter had left Narva just the day before and was therefore not present during the actual fighting. Trying to explain this act, some historians suggest that he did not expect an immediate attack on his well-fortified and numerically superior force or he was sure that such an attack would be easily repulsed. It is suggested that Peter wanted to speed up the arrival of reinforcements, address supply issues, and negotiate with Augustus. Some interpretations consider his departure from Narva the night before the battle as a cowardly act; most of Europe mocked the Tsar for his departure. However, some scholars believe this accusation has little merit, as reportedly the Tsar had placed himself in physical danger too many times for this departure to be an act of cowardice.[",3
"The Swedes approached the Russian army at 10 a.m. and began to prepare for an attack. Charles and his generals examined the Russian position, the soldiers stored the fascines to overcome the ditches, surrounding it. De Croy was concerned about the small size of the Swedish army and suspected that this was only the vanguard of the main forces. Sheremetev proposed to lead the army out of the entrenchment in the field and attack the Swedes, but was not supported by other generals.[4] De Croy decided to leave the army stretched for 4 miles (6.4 km) and sandwiched between two rows of ramparts.[40] The space between the ramparts was uneven: about 1,200 metres (3,900 ft) on the right Russian flank, about 250 metres (820 ft) in the center, and on the left flank – only 60–100 metres (200– 330 ft). There were many barracks for soldiers between the ramparts, which made it difficult to maneuver.",3
"On the right (northern) flank of the Russians, only two regiments of the future Guards (Preobrazhensky and Semyonovsky) retained the battle order. They rebuilt in a square, arranged improvised barricades of wagons and stubbornly held on; part of the running soldiers joined them. Encouraging his troops, Karl personally led the attacks against this center of resistance, but they were repulsed, and a horse under Karl was killed. Most of the Russian commanders, including generals Golovin and Trubetskoy, managed to join this group despite the surrender of de Croy. On the left flank, General Weide was seriously wounded at the very beginning of the battle, but his ""division"" for the most part did not succumb to panic and even made a successful counterattack,[47] but could not reconnect with the rest of the army.[",3
"The Battle of Narva was a terrible defeat for the Russian army. In total, the Swedes captured 10 generals and 10 colonels, and many officers of the regimental level were killed in battle. The regimental rolls, made in January 1701, show that the total loss of personnel was about 25% (and 57–68% in two infantry regiments of Trubetskoy's ""division""). In the Golovin's ""division"" (without taking into account the two regiments of the Guards) there left only 250 officers out of 356, the state of the Weide's ""division"" was somewhat better. Heavy losses were also in armaments, especially in artillery. Swedes captured near Narva 173 pieces, including 64 siege cannons (and a bit later additional 22 mortars in a baggage train near Yam) and 4050 muskets. By the spring of 1701, the shortage of personal weapons was mostly replenished, but the former ""divisions"" of Golovin and Weide did not have regimental artillery at all. If Charles had continued the campaign against Russia (General Vellingk suggested to attack Novgorod and Pskov[53]), the Russian army very likely would have suffered another defeat.[",3
"Electric matches consist of two parts, a bridgewire and a pyrogen. The bridgewire is a heating element, typically in the form of a loop or coil of thin wire, which is encased in the pyrogen, which is a quantity of readily ignited pyrotechnic initiator composition. If the pyrogen is sufficiently conductive, it can act as the bridgewire as well. Electric matches also come with provisions for attaching an electric current source, and they may be provided with a protective cover and/or a means to attach them to the device to be ignited.[",1
"Electric matches may be regulated, as they can be used to ignite explosives; for amateur pyrotechnics use, electric matches can be built from scratch or from kit form. Kits include the thin wire needed for the bridgewire, such as nichrome wire, along with components for mixing the pyrogen. Scratch-built matches use thin wire which may be purchased or salvaged from sources such as light bulb filaments, and copper wiring.[1][7] In addition to the readily ignitable component of the electric match pyrogen, some matches may also add additional components to provide a hotter, longer-lasting flame, for igniting items that are difficult to ignite. For example, igniters for solid fuel model rocket motors often include powdered metals, which provide more heat and duration to the match flame, and a more reliable ignition of the motor.[",1
"In Scotland, and many countries with Scottish connections, Saint Andrew's Day is marked with a celebration of Scottish culture with traditional Scottish food and music. In Scotland the day is also seen as the start of a season of Scottish winter festivals encompassing Saint Andrew's Day, Hogmanay and Burns Night. [15] There are week-long celebrations in the town of St Andrews and in some other Scottish cities.",3
"The Dacian New Year took place from 14 November until 7 December; this was considered the interval when time began its course.[21] One of the elements that came from the Roman and Thracian celebrations concerned wolves. During this night, wolves are allowed to eat all the animals they want. It is said that they can speak, too, but anyone that hears them will soon die. Early on Saint Andrew's day, the mothers go into the garden and gather tree branches, especially from apple, pear and cherry trees, and also rosebush branches. They make a bunch of branches for each family member. The one whose bunch blooms by New Year's Day will be lucky and healthy the next year. The best known tradition connected to this night concerns matrimony and premonitory dreams. Single girls must put under their pillow a branch of sweet basil. If someone takes the plants in their dreams, that means the girl will marry soon. They can also plant wheat in a dish and water it until New Year's Day. The nicer the wheat looks that day, the better the year to come.[",3
"The series was produced by Total Media Communication for TV Asahi and was written by Shūkei Nagasaka. [6] During the show's production, localization issues, such as the use of guns by non-police agencies in Japan and the change in family dynamics presented by the family of Urara Asakura were focused heavily on by TV Asahi and 20th Century. The producers were aware that the original series was enjoyed widely in Japan and that trying to adapt the story to the tastes of Japanese audiences while still telling an interesting and believable story would be met with heavy critique.[",3
"Introduction to Solid State Physics is a classic condensed matter physics textbook written by American physicist Charles Kittel in 1953.[1] The book has been highly influential and has seen widespread adoption; Marvin L. Cohen remarked in 2019 that Kittel's content choices in the original edition played a large role in defining the field of solid-state physics. [2] It was also the first proper textbook covering this new field of physics.[3] The book is published by John Wiley and Sons and, as of 2018, it is in its ninth edition and has been reprinted many times as well as translated into over a dozen languages, including Chinese, French, German, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Romanian, Russian, Spanish, and Turkish. In some later editions, the eighteenth chapter, titled Nanostructures, was written by Paul McEuen.",3
"Kittel received his PhD from the University of Wisconsin–Madison in 1941 under his advisor Gregory Breit. [4] Before being promoted to professor of physics at UC Berkeley in 1951, Kittel held several other positions. He worked for the Naval Ordnance Laboratory from 1940 to 1942, was a research physicist in the US Navy until 1945, worked at the Research Laboratory of Electronics at MIT from 1945 to 1947 and at Bell Labs from 1947 to 1951, and was a visiting associate professor at UC Berkeley from 1950 until his promotion",3
"In the former Yugoslavia, convicted war criminals are often glorified as heroes.[2] Former Croatian president Ivo Josipović said that former Yugoslav countries were reluctant to prosecute their own nationals for war crimes because ""everybody considers their own people to be heroes and only sees the Contents By country Australia Balkans 30.11.2020 Post-conflict reception of war criminals - Wikipedia https://en.wikipedia.org/wiki/Post-conflict_reception_of_war_criminals 2/8 Protest against the arrest, extradition and trial of Radovan Karadžić in Belgrade, Serbia, 2008 victims on their own side"".[3] In Republika Srpska, memorials to victims of the Bosnian genocide are forbidden. Instead, memorials are erected to commemorate Serb perpetrators of war crimes such as Radovan Karadžić. [4] Secondary school textbooks discuss Karadžić without mentioning that he was convicted of war crimes and genocide.[5] In Serbia, convicted war criminals such as Vojislav Šešelj enjoy public support which goes along with Bosnian genocide denial as well as denial of other war crimes committed by Serbs.",3
"After the ICTY convicted six Bosnian Croat military leaders of war crimes and crimes against humanity in November 2017, Croatian Prime Minister Andrej Plenković described the verdict as a ""deep moral injustice"".[10] Branimir Glavaš, a former Croatian general and current politician who was previously found guilty of torturing and murdering Serb civilians in the town of Osijek during the Croatian War of Independence, received a warm welcome following his release in 2015 which included a concert in front of 1,500 people featuring singers Miroslav Škoro and Mate Bulić. [11] In Kosovo, convicted war criminals such as Lahi Brahimaj and Rrustem Mustafa have been appointed to state offices. When Sylejman Selimi was released from prison after serving his sentence for war crimes, President Hashim Thaçi said: ""Kosovo is better and safer with the living hero Sylejman Selimi at liberty.""[12] Following the death of Kosovo Albanian war crimes convict Haradin Bala in January 2018, the Assembly of the Republic of Kosovo held a minute of silence to mark his death.",3
"Some German war criminals were put on trial at the Nuremberg trials, although most escaped responsibility for their crimes.[15] Today Germany denounces the actions of Nazi war criminals and does not have memorials to them.[16] In contrast, there are many Holocaust memorials in Germany.[17] SS officer Joachim Peiper, convicted and sentenced to death for his role in the Malmedy massacre, later achieved cult status among those who romanticize the Waffen-SS.",3
"A number of Nazi war criminals immigrated to various countries in Latin America, including Josef Mengele, Klaus Barbie, and Franz Stangl. [21] In 1961, Argentina protested against Israel's abduction of Adolf Eichmann, who was responsible for the deaths of millions of Jews, and initially demanded his return to Argentina. Before his abduction, Eichmann openly discussed his crimes with other German immigrants.[22][23] Following his arrest a wave of antisemitic attacks were committed against Argentine Jews. [",3
"C# est un langage de programmation orientée objet, et destiné à développer sur la plateforme Microsoft .NET.",3
"Il est dérivé du C++ et très proche du Java dont il reprend la syntaxe générale ainsi que les concepts, y ajoutant des notions telles que la surcharge des opérateurs, les indexeurs et les délégués. Il est utilisé notamment pour développer des applications web sur la plateforme ASP.NET.",3
"C# est un langage de programmation orientée objet, fortement typé, dérivé de C et de C++, ressemblant au langage Java. Il est utilisé pour développer des applications web, ainsi que des applications de bureau, des services web, des commandes, des widgets ou des bibliothèques de classes. En C#, une application est un lot de classes où une des classes comporte une méthode Main, comme cela se fait en Java.",2
"Les exécutables en C# sont subdivisés en assemblies, en namespaces, en classes et en membres de classe. Un assembly est la forme compilée, qui peut être un programme (un exécutable) ou une bibliothèque de classes (une dll). Un assembly contient le code exécutable en MSIL, ainsi que les symboles. Le code MSIL est traduit en langage machine au moment de l'exécution par la fonction just-in-time de la plateforme .NET.",2
"C# est un langage dérivé du C++, il apporte un typage sûr, ainsi que les possibilités d'encapsulation, d'héritage et de polymorphisme des langages orientés objet. En C# tous les types sont des objets. Le langage comporte un ramasse-miettes et un système de gestion d'exceptions3.",2
"Le typage sûr signifie notamment que les opérations suivantes sont refusées : utilisation de variable non initialisée, tentative d'accéder au-delà des limites d'un tableau, conversions de type dont les résultats ne sont pas prévisibles, dépassement des limites lors d'opérations arithmétiques.",2
Beaucoup de possibilités de Java se retrouvent dans C# et il y a une forte ressemblance entre un code écrit en C# et le code équivalent en Java.,2
"En C# les variables peuvent être d'un type référence ou d'un type valeur. Les types valeur sont les types primitifs, les énumérations, les struct et les types nullable4. Les types référence sont les classes, les interfaces, les tableaux et les delegate.",2
"Les types primitifs sont sbyte, short, int, long, byte, ushort, uint, ulong, char, float, double, decimal et bool.",3
"Les constructions les plus fondamentales du langage C# sont les classes. Celles-ci peuvent contenir des constantes, des champs, des propriétés, des indexeurs, des méthodes, des événements, des opérateurs, des constructeurs, des destructeurs ou des sous-classes4. Les classes élémentaires sont string et object.",2
"Les struct sont similaires aux classes, mais ce sont des types valeurs et ils ne peuvent pas être hérités.",2
Un delegate est une référence à une méthode qui comporte certains paramètres. Les delegates permettent d'assigner des méthodes à des variables et les passer en paramètre.,2
Un type énuméré est un type valeur qui comporte un lot de constantes. Chaque type énuméré a un type sous-jacent : un type primitif déterminé en fonction des valeurs des constantes.,2
Les nullable sont des types primitifs qui peuvent en plus avoir la valeur null. Chaque type primitif T a un type nullable associé T?. Par exemple une variable de type int? peut contenir un int ou null.\,2
"La manipulation directe de pointeurs ne peut se faire qu’au sein d’un code marqué unsafe, et seuls les programmes avec les permissions appropriées peuvent exécuter des blocs de code unsafe. La plupart des manipulations de pointeurs se font via des références sécurisées, dont l’adresse ne peut être directement modifiée, et la plupart des opérations de pointeurs et d’allocations sont contrôlées contre les dépassements de mémoire. Les pointeurs ne peuvent pointer que sur des types de valeurs, les types objets, manipulés par le ramasse-miettes, ne pouvant qu’être référencés",2
"Les objets ne peuvent pas être explicitement détruits. Le ramasse-miettes s’occupe de libérer la mémoire lorsqu’il n’existe plus aucune référence pointant sur un objet. Toutefois, pour les objets gérant des types non managés, il est possible d’implémenter l’interface IDisposable pour spécifier des traitements à effectuer au moment de la libération de la ressource",2
"L’héritage multiple de classes est interdit, mais une classe peut implémenter un nombre illimité d’interfaces, et une interface peut hériter de plusieurs interfaces",3
"Le C# est beaucoup plus typé que le C++ ; les seules conversions implicites sont celles entre les différentes gammes d’entiers et celles d’un type dérivé à un type parent. Aucune conversion implicite n’a lieu entre booléens et entiers, entre membres d’énumération et entiers, ni de pointeurs sur un type void (quoique pour ce dernier point l’utilisation de références sur le type Object permette d’obtenir le même effet). Les conversions définies par l’utilisateur peuvent être définies comme implicites ou explicites",2
"La syntaxe pour la déclaration des tableaux n’est pas la même : int[] a = new int[5] remplace int a[5]. Car il s'agit d'une allocation dynamique, int[] a étant la déclaration d'une référence (nulle si non initialisée). L'allocation manuelle d'un tableau sur la pile reste cependant possible avec le mot clé stackalloc ",2
"Les assemblys peuvent être statiques ou dynamiques. Les assemblys statiques sont stockés sur le disque dans des fichiers exécutables portables (PE). Les assemblys statiques peuvent inclure des interfaces, des classes et des ressources telles que des bitmaps, des fichiers JPEG et d’autres fichiers de ressources. Vous pouvez également créer des assemblys dynamiques, qui sont exécutés directement à partir de la mémoire et ne sont pas enregistrés sur le disque avant l’exécution. Vous pouvez enregistrer des assemblys dynamiques sur le disque une fois qu'ils ont été exécutés",2
"Pour créer des assemblys, différentes possibilités s'offrent à vous. Vous pouvez utiliser des outils de développement, tels que Visual Studio, qui peuvent créer des fichiers . dll ou. exe . Vous pouvez utiliser les outils de la SDK Windows pour créer des assemblys avec des modules à partir d’autres environnements de développement. Vous pouvez également utiliser les API du Common Language Runtime, comme System.Reflection.Emit, pour créer des assemblys dynamiques",2
"Une propriété est un membre qui fournit un mécanisme flexible pour la lecture, l'écriture ou le calcul de la valeur d'un champ privé. Les propriétés peuvent être utilisées comme s’il s’agissait de membres de données publics, mais ce sont en fait des méthodes spéciales appelées accesseurs. Elles permettent aux données d'être facilement accessibles tout en soutenant quand même la sécurité et la flexibilité des méthodes.",2
Un modèle de base pour l’implémentation d’une propriété consiste à utiliser un champ de stockage privé pour définir et extraire la valeur de propriété. L’accesseur get retourne la valeur du champ privé et l’accesseur set peut effectuer une validation des données avant d’assigner une valeur au champ privé. Les deux accesseurs peuvent également effectuer des opérations de conversion ou de calcul sur les données avant de stocker ou retourner les données.,2
"C++ ist eine von der ISO genormte Programmiersprache. Sie wurde ab 1979 von Bjarne Stroustrup bei AT&T als Erweiterung der Programmiersprache C entwickelt. C++ ermöglicht sowohl die effiziente und maschinennahe Programmierung als auch eine Programmierung auf hohem Abstraktionsniveau. Der Standard definiert auch eine Standardbibliothek, zu der verschiedene Implementierungen existieren.",3
"Typische Anwendungsfelder in der Systemprogrammierung sind Betriebssysteme, eingebettete Systeme, virtuelle Maschinen, Treiber und Signalprozessoren. C++ nimmt hier oft den Platz ein, der früher ausschließlich Assemblersprachen und der Programmiersprache C vorbehalten war.",3
"Die Sprache C++ verwendet nur etwa 60 Schlüsselwörter („Sprachkern“), manche werden in verschiedenen Kontexten (static, default) mehrfach verwendet. Ihre eigentliche Funktionalität erhält sie, ähnlich wie auch die Sprache C, durch die C++-Standardbibliothek, die der Sprache fehlende wichtige Funktionalitäten beibringt (Arrays, Vektoren, Listen, ...) wie auch die Verbindung zum Betriebssystem herstellt (iostream, fopen, exit, ...). Je nach Einsatzgebiet kommen weitere Bibliotheken und Frameworks dazu. C++ legt einen Schwerpunkt auf die Sprachmittel zur Entwicklung von Bibliotheken. Dadurch favorisiert es verallgemeinerte Mechanismen für typische Problemstellungen und besitzt kaum in die Sprache integrierte Einzellösungen.",3
"Eine der Stärken von C++ ist die Kombinierbarkeit von effizienter, maschinennaher Programmierung mit mächtigen Sprachmitteln, die einfache bis komplexe Implementierungsdetails zusammenfassen und weitgehend hinter abstrakten Befehlsfolgen verbergen. Dabei kommt vor allem die Template-Metaprogrammierung zum Zuge: Eine Technik, die eine nahezu kompromisslose Verbindung von Effizienz und Abstraktion erlaubt.",3
"Diese Abhängigkeiten können durch bestimmte Konstruktionen, wie dem pimpl-Idiom (pointer to implementation idiom), vermieden werden. Dabei werden die privaten Felder der Klasse (example_class) in eine private, vorwärts-deklarierte Hilfsklasse verschoben, und ein Zeiger auf ein Objekt dieser Hilfsklasse (example_class::impl * impl_ptr) bleibt in der eigentlichen Klasse. Die Definition der implementierenden Klasse findet bei der Implementierung der öffentlichen Klasse statt und ist damit für den Verwender der Klasse (der nur die Header-Datei kennt) unsichtbar. Dadurch, dass die Hilfsklasse nur durch einen Zeiger referenziert wird, bleiben alle Quelltextänderungen an privaten Feldern transparent und die Binärkompatibilität wird erhalten.",3
"Das Verhalten von vielen Sprachkonstrukten ist nicht definiert. Dies bedeutet, dass der Standard weder vorgibt noch empfiehlt, was in einem solchen Fall passiert. Die Auswirkungen reichen von Implementierungsabhängigkeit (d. h. je nach Zielrechner und Compiler kann sich das Konstrukt unterschiedlich verhalten) über unsinnige Ergebnisse oder Programmabstürze bis hin zu gefährlichen Sicherheitslücken. Einige dieser Freiheiten des Compilers lassen zusätzliche Optimierungen des Codes zu, einige haben allerdings keinen praktischen Nutzen und sind unnötigerweise undefiniert. Eine dritte Gruppe stellt Code dar, den man ohne Performanceverluste als Code mit definiertem Verhalten schreiben kann.",3
"Generische Techniken ergänzen die objektorientierte Programmierung um Typparameter und erhöhen so die Wiederverwertbarkeit einmal kodierter Algorithmen. Die generischen Java-Erweiterungen sind jedoch lediglich auf Klassen, nicht aber auf primitive Typen oder Datenkonstanten anwendbar. Demgegenüber beziehen die generischen Spracherweiterungen von C# auch die primitiven Typen mit ein. Dabei handelt es sich allerdings um eine Erweiterung für Generik zur Laufzeit, die die auf Kompilationszeit zugeschnittenen C++-Templates zwar sinnvoll ergänzen, nicht aber ersetzen können.",3
"Gerade die generische Programmierung macht C++ zu einem mächtigen Programmierwerkzeug. Während die objektorientierte Programmierung in Java und C# nach wie vor den zentralen Abstraktionsmechanismus darstellt, ist diese Art der Programmierung in C++ rückläufig. So werden tiefe Klassenhierarchien vermieden, und zu Gunsten der Effizienz und der Minimierung des Ressourcenverbrauchs verzichtet man in vielen Fällen auf Polymorphie, einen der fundamentalen Bestandteile der objektorientierten Programmierung.",3
"Die Sprache C++ ist grundsätzlich und theoretisch plattformunabhängig. In der Praxis ist es allerdings so, dass die Funktionalität von C++ zu großen Teilen von externen Bibliotheken geliefert wird und diese Bibliotheken sind dann doch gelegentlich plattformabhängig. In der Regel kann man also davon ausgehen, dass man ein Programm, dass man für Windows programmiert hat, nicht so ohne weiteres auf einem Linux-System übersetzen kann.",3
"Auf die Idee für eine neue Programmiersprache kam Stroustrup durch Erfahrungen mit der Programmiersprache Simula während seiner Doktorarbeit an der Cambridge University. Simula erschien zwar geeignet für den Einsatz in großen Software-Projekten, die Struktur der Sprache erschwerte aber die Erstellung hocheffizienter Programme. Demgegenüber ließen sich effiziente Programme zwar mit der Sprache BCPL schreiben, für große Projekte war BCPL aber wiederum ungeeignet.",3
"C++98 deckte einige typische Problemfelder der Programmierung noch nicht ausreichend ab, zum Beispiel die Unterstützung von Nebenläufigkeit (Threads), deren Integration in C++, insbesondere für die Verwendung in Mehrprozessorumgebungen, eine Überarbeitung der Sprache unumgänglich machte. Durch die Einführung eines Speichermodells wurden Garantien der Sprache für den nebenläufigen Betrieb festgelegt, um Mehrdeutigkeiten in der Abarbeitungsreihenfolge sowohl aufzulösen als auch in bestimmten Fällen aufrechtzuerhalten und dadurch Spielraum für Optimierungen zu schaffen.",3
"Anders als bei gewöhnlichen Zeigern wird beim Löschen von Handles mittels delete zwar der Destruktor aufgerufen, nicht aber der Speicher freigegeben. Stattdessen wird der vom Objekt belegte Speicher durch die automatische Speicherbereinigung an das System zurückgegeben.",3
"Eine weitere technische Neuerung und einer der wichtigsten Unterschiede zu anderen Sprachen mit automatischer Speicherbereinigung sind die als automatische Variablen (d. h. auf dem Stack) anlegbaren CLI-Objekte. Die Lebensdauer von automatischen Variablen endet in dem Augenblick, in welchem sie ihren Gültigkeitsbereich verlassen.",3
"Die Funktionsnotation erlaubt die Qualifizierung der Funktionsaufrufe mit den entsprechenden Namensräumen, ist allerdings deutlich mehr Schreibarbeit. Außerdem muss der Aufrufer wissen, ob die Überladungsversion des (im Beispiel zweistelligen) Operators eine freistehende Funktion (im Beispiel: erster Aufruf mit zwei Parametern) oder Komponente einer Klasse ist (im Beispiel: zweiter Aufruf mit Punkt und einem Parameter). Funktionsaufrufe schränken selbst in einfachen Beispielen wie dem obigen die Nützlichkeit insbesondere von Operatorüberladung deutlich ein; daher spezifiziert der C++-Standard (Abschnitt 3.4.2), dass der Compiler die zu den Argument-Typen gehörigen Namensräume (die sogenannten associated namespaces) ebenfalls durchsuchen muss.",3
"Der Grund dafür, dass argumentabhängige Namensauflösung in C++ notwendig ist, liegt letztlich in der Interpretation dessen, was man als die Klassen-Schnittstelle einer Klasse ansieht. Im Unterschied zu den meisten anderen Sprachen interpretiert C++ eine Funktion als zu einer Klasse gehörig, wenn diese einerseits Argumente des Klassentyps akzeptiert und andererseits im selben Namensraum liegt wie die Klasse. ADL erlaubt es, derartige freie Funktionen weitgehend so zu benutzen, als wären sie direkter Bestandteil der Klassenschnittstelle.",3
